version;reserved0;flags;invalidLlh;iTOW;lon;lat;height;hMSL;lonHp;latHp;heightHp;hMSLHp;hAcc;vAcc
0;0;('X001', {'invalidLlh': 'U001'});0;220049000;14.190921863;40.828871392;83770.0;42494.4;-37;-8;0;4;91.2;128.0
0;0;('X001', {'invalidLlh': 'U001'});0;220050000;14.190921795;40.828871399;83724.2;42448.6;-5;-1;2;-4;90.7;127.6
0;0;('X001', {'invalidLlh': 'U001'});0;220051000;14.19092178;40.828871303;83689.9;42414.3;-20;3;-1;3;89.9;126.6
0;0;('X001', {'invalidLlh': 'U001'});0;220052000;14.190921731;40.828871146;83663.2;42387.6;31;46;2;-4;89.3;125.4
0;0;('X001', {'invalidLlh': 'U001'});0;220053000;14.190921695;40.828870956;83649.9;42374.3;-5;-44;-1;3;88.7;124.6
0;0;('X001', {'invalidLlh': 'U001'});0;220054000;14.190921693;40.828870732;83649.5;42373.8;-7;32;5;-2;88.2;124.0
0;0;('X001', {'invalidLlh': 'U001'});0;220055000;14.190921704;40.828870507;83652.0;42376.4;4;7;0;4;87.6;123.2
0;0;('X001', {'invalidLlh': 'U001'});0;220056000;14.190921613;40.828870362;83651.8;42376.2;13;-38;-2;2;87.1;122.7
0;0;('X001', {'invalidLlh': 'U001'});0;220057000;14.19092155;40.828870407;83711.0;42435.4;-50;7;0;4;85.0;119.6
0;0;('X001', {'invalidLlh': 'U001'});0;220058000;14.190921559;40.828870503;83798.5;42522.9;-41;3;5;-1;84.0;118.2
0;0;('X001', {'invalidLlh': 'U001'});0;220059000;14.190921621;40.828870578;83890.2;42614.6;21;-22;2;-4;83.6;117.7
